words,links,capital_words,spam_word_count,is_spam
139,5,0,1,0
249,7,10,9,1
297,0,2,2,0
120,5,15,5,1
206,0,0,0,0
190,2,0,1,0
58,1,0,1,0
951,0,14,5,1
961,2,23,6,1
57,1,10,2,0
206,0,2,2,0
143,9,27,4,1
284,2,3,1,0
74,3,12,4,1
981,3,13,7,1
715,8,14,7,1
218,3,12,10,1
153,5,2,6,1
495,1,1,3,0
638,4,5,9,1
908,2,27,9,1
106,3,3,1,0
288,5,3,0,0
285,0,0,2,0
148,2,1,1,0
23,4,2,6,0
109,1,3,0,0
146,5,10,5,0
161,3,9,3,1
792,4,1,4,1
199,5,17,2,1
355,5,13,4,1
106,0,2,1,0
130,2,0,0,0
498,3,10,4,1
358,1,17,1,1
206,1,0,1,0
62,2,10,1,0
163,1,1,3,0
695,8,5,3,1
889,2,24,10,1
95,1,3,1,0
615,9,7,6,1
376,2,26,7,1
532,7,25,4,1
90,3,7,5,1
21,0,1,2,0
125,2,0,2,0
126,0,1,2,0
306,1,6,0,0
647,2,5,1,1
290,0,0,2,0
51,1,2,0,0
459,1,0,2,0
188,1,1,1,0
162,3,3,5,0
415,4,21,10,1
168,0,0,1,0
274,2,2,2,0
187,4,18,3,1
282,4,26,6,1
151,0,0,5,0
810,4,15,5,1
77,2,0,0,0
30,2,1,0,0
80,0,2,6,0
157,2,13,5,1
263,1,4,2,0
109,1,1,1,0
929,7,19,1,1
198,3,19,4,1
162,8,12,8,1
185,0,3,1,0
165,1,1,1,0
64,5,9,2,1
598,9,20,6,1
590,5,5,8,1
187,4,10,3,0
296,0,1,1,0
76,9,14,10,1
213,0,0,2,0
435,2,0,1,0
243,1,1,5,0
258,2,2,4,0
244,0,1,1,0
429,1,2,2,0
460,3,15,4,1
856,10,13,0,1
265,2,2,4,0
78,6,17,6,1
363,8,9,9,1
165,0,10,1,0
239,1,1,2,0
49,0,3,2,0
429,0,3,2,0
149,3,30,2,1
175,2,2,2,0
427,0,29,4,1
717,1,2,2,1
411,1,3,2,0
297,1,8,2,0
43,0,5,1,0
165,0,1,1,0
385,4,12,3,1
257,1,8,0,0
21,1,7,3,0
152,2,1,6,0
875,2,21,7,1
860,9,13,10,1
101,9,16,3,1
200,1,1,1,0
149,2,0,0,0
649,7,11,0,1
227,1,0,4,0
523,2,12,4,1
259,1,0,2,0
38,1,6,1,0
100,7,20,5,1
31,1,0,0,0
132,3,9,9,1
735,7,30,1,1
723,6,18,3,1
740,8,14,6,1
170,5,1,0,0
324,5,25,8,1
291,3,0,6,0
247,8,8,8,1
290,1,7,1,0
226,0,2,2,0
601,7,3,5,1
623,9,5,3,1
219,1,8,1,1
366,0,5,0,0
352,5,23,4,1
119,2,3,1,0
108,6,9,2,1
115,6,20,3,1
197,2,10,4,1
156,2,11,10,1
97,0,3,0,0
882,0,0,9,1
191,1,0,2,0
414,8,11,10,1
465,4,12,4,1
397,1,1,2,0
579,9,17,7,1
244,2,1,2,0
424,10,1,7,1
119,5,1,6,0
489,1,4,5,1
152,2,1,2,0
171,0,3,1,0
560,1,3,8,1
525,3,20,1,1
47,5,0,0,0
190,10,1,4,1
277,2,1,1,0
337,9,25,4,1
785,4,22,6,1
647,2,11,1,1
600,8,15,6,1
275,2,3,0,0
166,2,1,2,0
80,0,2,2,0
988,8,16,2,1
240,0,2,0,0
245,1,5,5,1
98,8,16,2,1
218,6,18,9,1
184,2,3,2,0
292,2,3,0,0
396,5,7,9,1
29,5,5,2,0
260,1,2,2,0
181,1,3,0,0
191,2,1,4,1
105,1,2,1,0
110,1,2,5,0
118,1,3,0,0
259,2,7,7,1
193,10,7,4,1
83,3,0,0,0
210,2,6,3,1
82,5,2,2,0
170,10,2,6,1
297,1,3,2,0
113,3,3,1,0
178,3,1,0,0
196,0,9,6,1
210,5,2,1,0
290,2,2,2,0
109,3,2,0,1
210,0,10,0,0
275,0,9,1,0
46,1,2,0,0
260,5,2,2,0
119,2,10,1,0
137,3,5,8,1
37,1,2,2,0
940,2,9,2,1
169,9,12,8,1
731,10,0,8,1
336,0,22,3,1
330,2,0,2,1
363,1,2,0,0
119,2,0,5,0
255,2,1,1,0
172,0,0,3,0
141,1,10,0,0
432,0,2,0,0
33,2,1,1,0
546,4,7,4,1
88,3,2,2,0
120,5,2,1,0
930,0,8,7,1
185,1,2,2,0
179,9,29,3,1
791,2,30,1,1
775,5,12,2,1
532,4,26,3,1
150,2,10,1,0
194,2,1,0,0
394,9,5,5,1
350,7,22,7,1
125,2,2,2,0
54,0,3,1,0
997,0,6,6,1
295,2,1,1,0
226,4,8,9,1
149,6,5,0,1
430,7,5,9,1
169,0,2,1,0
596,9,29,7,1
159,2,3,0,0
63,1,6,0,0
637,3,30,1,1
181,1,4,3,0
422,7,2,7,1
136,4,16,10,1
265,2,6,6,0
199,2,14,6,1
181,0,2,2,0
782,6,6,8,1
576,0,12,3,1
217,0,3,0,0
237,3,0,6,0
217,2,10,0,0
882,9,23,2,1
278,0,2,1,0
59,2,13,9,1
613,2,13,5,1
100,0,3,1,0
750,6,21,2,1
123,7,3,3,1
229,0,4,1,0
151,2,3,6,0
844,10,8,1,1
142,0,0,1,0
145,1,2,0,0
90,8,23,6,1
352,0,1,2,0
987,1,2,1,1
716,0,2,6,1
185,5,3,2,0
242,1,1,2,0
76,2,2,2,0
188,7,10,7,1
183,9,5,9,1
161,5,8,6,1
161,4,8,8,1
306,5,8,0,0
253,2,3,2,0
223,0,6,0,0
218,2,0,4,0
208,0,3,4,0
123,2,6,1,0
356,2,1,8,1
107,6,24,0,1
188,2,1,1,0
